# heat_aggregators.txt 
# Generated:  Mon Feb  6 22:15:33 2017 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   superaggregator: TRUE if protein is a superaggregator at 46C
# 
orf	gene	superaggregator
R0040C	REP2	FALSE
YAL003W	EFB1	FALSE
YAL021C	CCR4	FALSE
YAL035W	FUN12	FALSE
YAL036C	RBG1	FALSE
YAR007C	RFA1	FALSE
YBL004W	UTP20	FALSE
YBL022C	PIM1	FALSE
YBL032W	HEK2	FALSE
YBL039C	URA7	FALSE
YBR025C	OLA1	TRUE
YBR034C	HMT1	FALSE
YBR079C	RPG1	FALSE
YBR143C	SUP45	FALSE
YBR227C	MCX1	TRUE
YBR244W	GPX2	FALSE
YBR245C	ISW1	FALSE
YBR247C	ENP1	FALSE
YCL011C	GBP2	TRUE
YCL014W	BUD3	FALSE
YCL037C	SRO9	TRUE
YCL043C	PDI1	FALSE
YCL050C	APA1	FALSE
YCR030C	SYP1	FALSE
YCR051W	YCR051W	TRUE
YCR088W	ABP1	FALSE
YCR093W	CDC39	FALSE
YDL051W	LHP1	FALSE
YDL148C	NOP14	FALSE
YDL153C	SAS10	FALSE
YDL213C	NOP6	FALSE
YDL225W	SHS1	FALSE
YDR037W	KRS1	FALSE
YDR089W	YDR089W	FALSE
YDR097C	MSH6	FALSE
YDR120C	TRM1	FALSE
YDR150W	NUM1	FALSE
YDR165W	TRM82	FALSE
YDR172W	SUP35	FALSE
YDR174W	HMO1	FALSE
YDR190C	RVB1	FALSE
YDR361C	BCP1	TRUE
YDR365C	ESF1	FALSE
YDR429C	TIF35	FALSE
YDR430C	CYM1	FALSE
YDR432W	NPL3	FALSE
YDR454C	GUK1	FALSE
YDR496C	PUF6	FALSE
YDR502C	SAM2	FALSE
YER002W	NOP16	FALSE
YER006W	NUG1	TRUE
YER036C	ARB1	FALSE
YER042W	MXR1	FALSE
YER090W	TRP2	FALSE
YER110C	KAP123	FALSE
YER125W	RSP5	FALSE
YER151C	UBP3	FALSE
YER155C	BEM2	FALSE
YER164W	CHD1	TRUE
YER165W	PAB1	FALSE
YFL007W	BLM10	FALSE
YFL045C	SEC53	FALSE
YFR009W	GCN20	FALSE
YFR010W	UBP6	FALSE
YFR037C	RSC8	FALSE
YGL078C	DBP3	TRUE
YGL099W	LSG1	FALSE
YGL105W	ARC1	FALSE
YGL120C	PRP43	FALSE
YGL157W	ARI1	FALSE
YGL173C	XRN1	FALSE
YGL195W	GCN1	FALSE
YGL201C	MCM6	TRUE
YGL207W	SPT16	FALSE
YGL245W	GUS1	FALSE
YGR001C	EFM5	FALSE
