Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Max. labeled AAs	Labels0	Labels1	Labels2	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Multiplets	Multiplets z=1	Multiplets z=2	Multiplets z=3	Multiplets z=4	Multiplets z=5	Multiplets z=6	Multiplets z=7	Multiplets Sequenced	Multiplets Sequenced [%]	Multiplets Repeatedly Sequenced	Multiplets Repeatedly Sequenced [%]	Multiplets Identified	Multiplets Identified [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]
MSB51022Hr1Band_01	pellet	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		9132	27748	0	47269	581	7646	39042	260	133	119	8	0.55	23	1.6	0.02	143	520666	13993	2.7	1790	13	21579	6692	5904	31	53	1239	19	186	41	135	10	0	0	0	0	167	90	150	90	51	31	+	0.36156	0.50655	0.20167	0.29011
MSB51022Hr1Band_02	pellet	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		4730	46951	0	72248	597	21055	50596	438	155	270	13	0.61	26	1.3	0.026	256	365580	30690	8.4	4072	13	31453	16690	15433	53	71	3905	23	197	30	153	14	0	0	0	0	172	87	162	94	59	34	+	0.42534	0.62712	0.24436	0.38691
MSB51022Hr1Band_03	pellet	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		2815	53336	0	76305	144	30223	45938	451	51	365	35	0.59	35	1.2	0.076	266	282079	36817	13	4528	12	39133	22730	21637	58	70	5634	25	68	15	49	4	0	0	0	0	51	75	43	84	22	43	+	0.8382	1.1797	0.43034	0.61317
MSB51022Hr1Band_04	pellet	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6777	39284	0	62218	1452	14894	45872	392	280	109	3	0.63	19	0.73	0.0065	206	476732	23649	5	3089	13	27433	13195	12190	48	65	2518	19	445	45	382	18	0	0	0	0	416	93	397	95	120	29	+	0.48189	0.66221	0.25503	0.37381
MSB51022Hr1Band_05	pellet	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		7369	36395	0	57021	464	15303	41254	157	114	41	2	0.28	25	0.27	0.0048	85	468258	21559	4.6	3193	15	25176	12481	11616	50	66	2546	20	141	16	115	10	0	0	0	0	132	94	123	93	46	35	+	0.59704	0.80936	0.31525	0.42017
MSB51022Hr1Band_06	pellet	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		7475	35778	0	53798	2639	15119	36040	650	488	151	11	1.2	18	1	0.031	293	469699	23996	5.1	3245	14	28181	14496	13640	51	69	2618	18	815	100	666	48	1	0	0	0	745	91	717	96	205	28	+	0.52403	0.69432	0.27747	0.38491
MSB51022Hr1Band_07	pellet	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		6729	38559	0	57477	2259	17380	37838	843	513	317	13	1.5	23	1.8	0.034	404	471475	26025	5.5	3109	12	33157	15989	15019	48	66	2958	19	701	78	570	51	1	1	0	0	633	90	604	95	205	32	+	0.60195	0.81429	0.31028	0.41056
MSB51022Hr1Band_08	pellet	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		7890	34655	0	52837	2805	13668	36364	659	502	153	4	1.2	18	1.1	0.011	287	477107	21608	4.5	3038	14	27595	13234	12271	48	68	2598	20	892	169	670	51	2	0	0	0	779	87	724	93	180	23	+	0.38415	0.52389	0.20442	0.28388
MSB51022Hr1Band_09	pellet	9	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		5085	45568	0	66892	1646	22590	42656	1036	480	548	8	1.5	29	2.4	0.019	473	393904	30730	7.8	3939	13	36161	19177	17816	53	70	4102	21	532	128	372	32	0	0	0	0	439	83	408	93	157	36	+	0.42041	0.59927	0.21641	0.30192
MSB51022Hr1Band_10	pellet	10	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	3	2	3		Arg6;Lys4	Arg10;Lys8	Standard		4889	45696	0	67074	1737	22581	42756	1397	588	775	34	2.1	34	3.4	0.08	537	425414	31492	7.4	4062	13	41765	19052	17611	46	64	4203	22	565	123	389	52	1	0	0	0	465	82	437	94	171	37	+	0.44294	0.59675	0.22622	0.30821
