# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
Q0045	COX1	0.1835	18.436	0.333	0.371	3	2
Q0050	AI1	0.0967	4.667	0.414	0.480	2	1
Q0055	AI2	0.0655	3.942	0.462	0.533	2	1
Q0060	AI3	0.0669	2.385	0.443	0.541	2	1
Q0065	AI4	0.0666	2.183	0.394	0.528	2	0
Q0070	AI5_ALPHA	0.0434	1.021	0.472	0.610	2	0
Q0075	AI5_BETA	0.0707	2.114	0.404	0.474	2	0
Q0080	ATP8	0.1143	5.350	0.393	0.464	2	0
Q0085	ATP6	0.1721	17.272	0.325	0.451	3	1
Q0105	COB	0.1559	11.131	0.360	0.467	3	1
Q0110	BI2	0.0405	0.751	0.519	0.594	2	0
Q0115	BI3	0.0487	1.416	0.440	0.581	2	0
Q0120	BI4	0.0669	2.627	0.472	0.540	2	0
Q0130	OLI1	0.3316	40.949	0.372	0.394	3	2
Q0140	VAR1	0.0887	10.540	0.428	0.470	2	2
Q0160	SCEI	0.0739	2.556	0.457	0.493	2	0
Q0250	COX2	0.1436	12.411	0.386	0.492	2	1
Q0255		0.0540	1.417	0.427	0.571	2	0
Q0275	COX3	0.1317	9.818	0.400	0.484	3	1
R0010W	FLP1	0.1535	6.642	0.383	0.435	1	0
R0020C	REP1	0.5274	74.218	0.375	0.442	2	3
R0030W	RAF1	0.4171	56.860	0.381	0.396	2	2
R0040C	REP2	0.4061	79.606	0.366	0.466	2	3
YAL001C	TFC3	1.8503	282.630	0.261	0.325	11	4
YAL002W	VPS8	1.4486	341.994	0.244	0.275	9	2
YAL003W	EFB1	56.7874	73513.679	0.264	0.338	12	9
YAL005C	SSA1	58.8722	329786.499	0.229	0.214	12	9
YAL007C	ERP2	9.1685	9698.872	0.253	0.222	12	5
YAL008W	FUN14	3.9625	1533.347	0.244	0.279	13	4
YAL009W	SPO7	2.1289	409.070	0.269	0.317	12	1
YAL010C	MDM10	1.3353	312.519	0.276	0.322	9	3
YAL011W	SWC3	1.9885	556.603	0.274	0.307	11	3
YAL012W	CYS3	34.5649	43952.818	0.236	0.230	13	10
YAL013W	DEP1	3.2299	751.310	0.256	0.356	11	2
YAL014C	SYN8	4.0883	714.614	0.235	0.323	13	2
YAL015C	NTG1	2.9944	498.007	0.290	0.355	12	3
YAL016W	TPD3	10.1730	11859.956	0.248	0.241	13	7
YAL017W	PSK1	2.8370	819.581	0.253	0.280	12	5
YAL018C	LDS1	0.3581	23.771	0.352	0.424	8	0
YAL019W	FUN30	3.7491	2269.807	0.244	0.221	12	8
YAL020C	ATS1	1.8209	297.815	0.267	0.392	11	1
YAL021C	CCR4	5.3245	3720.513	0.239	0.219	12	9
YAL022C	FUN26	3.6427	561.587	0.256	0.265	13	3
YAL023C	PMT2	9.7177	2963.882	0.226	0.238	13	8
YAL024C	LTE1	1.3608	283.941	0.295	0.312	11	3
YAL025C	MAK16	5.7948	1152.027	0.264	0.377	12	3
YAL026C	DRS2	2.8507	1501.891	0.281	0.246	7	5
YAL027W	SAW1	1.7908	368.926	0.236	0.299	11	1
YAL028W	FRT2	1.5108	170.107	0.241	0.391	11	1
YAL029C	MYO4	4.7233	2167.822	0.245	0.227	12	6
YAL030W	SNC1	5.2622	1319.384	0.250	0.359	12	4
YAL031C	GIP4	1.8422	304.791	0.235	0.314	10	4
YAL032C	PRP45	1.9897	867.455	0.276	0.257	10	4
YAL033W	POP5	4.9736	2607.087	0.275	0.250	12	4
YAL034C	FUN19	1.8128	203.035	0.267	0.441	12	0
YAL034W-A	MTW1	2.2084	1091.893	0.255	0.231	10	4
YAL035W	FUN12	18.2121	25101.359	0.241	0.238	12	8
YAL036C	RBG1	11.6718	10544.937	0.246	0.256	13	6
YAL037C-A		0.7639	68.038	0.300	0.408	4	0
YAL037W		0.7321	63.881	0.276	0.345	9	0
YAL038W	CDC19	152.3607	283438.843	0.257	0.250	11	8
YAL039C	CYC3	4.4037	1700.661	0.265	0.265	12	5
YAL040C	CLN3	4.3538	547.563	0.251	0.372	13	0
YAL041W	CDC24	3.5466	1498.835	0.247	0.226	11	6
YAL042W	ERV46	7.5827	1778.610	0.301	0.342	12	3
YAL043C	PTA1	3.3034	1961.475	0.252	0.218	12	5
YAL044C	GCV3	14.8466	8988.547	0.275	0.211	12	8
YAL044W-A		1.7697	357.804	0.293	0.285	5	4
YAL046C	AIM1	3.0654	555.867	0.228	0.254	12	3
YAL047C	SPC72	1.2365	322.347	0.255	0.319	10	3
YAL048C	GEM1	1.0307	138.772	0.302	0.376	11	2
YAL049C	AIM2	6.3455	2193.728	0.246	0.344	13	5
YAL051W	OAF1	1.7180	275.466	0.239	0.324	11	4
YAL053W	FLC2	4.3386	913.808	0.245	0.317	12	3
YAL054C	ACS1	1.5971	627.539	0.260	0.299	11	4
YAL055W	PEX22	2.2137	285.609	0.294	0.328	13	1
YAL056W	GPB2	2.6245	462.911	0.289	0.334	13	2
YAL058W	CNE1	2.8930	1253.261	0.245	0.286	10	3
YAL059W	ECM1	6.2976	3097.880	0.216	0.217	12	5
YAL060W	BDH1	7.3342	7585.909	0.229	0.216	13	6
YAL061W	BDH2	2.3606	950.098	0.253	0.253	12	3
YAL062W	GDH3	1.6697	339.667	0.270	0.390	13	4
YAL063C	FLO9	0.5484	37.318	0.305	0.398	7	0
YAL063C-A		0.1761	8.218	0.383	0.483	3	0
YAL064C-A	TDA8	0.1814	8.818	0.342	0.402	3	0
YAL064W		0.2295	12.605	0.363	0.475	3	0
YAL064W-B		0.4128	30.784	0.323	0.375	6	0
YAL065C		0.4063	29.175	0.333	0.460	7	0
YAL067C	SEO1	0.3569	23.387	0.336	0.489	8	0
YAL067W-A		0.0248	0.513	0.472	0.575	1	0
YAL068C	PAU8	0.6798	55.276	0.277	0.353	6	0
YAR002C-A	ERP1	9.9391	12808.169	0.260	0.228	9	5
YAR002W	NUP60	5.8236	3353.663	0.266	0.247	12	6
YAR003W	SWD1	2.2670	532.079	0.248	0.307	11	4
