# scer_aggregation_psup_long.txt 
# Generated:  Tue Feb 19 18:22:52 2019 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
# 
orf	gene	experiment	n.detections	n.peptides	intensity.t	intensity.s	intensity.p	psup	psup.lo	psup.hi
Q0045	COX1	30C.rep1	1	1	365310	67374	1374500	0.0592	0.0154	0.217
Q0045	COX1	46C.4min	2	1	2761900	222400	4007500	0.0368	0.0137	0.0992
Q0075	AI5_BETA	37C.8min	1	1	13265000	10168000	11931000	0.6212	0.153	0.956
Q0120	BI4	46C.4min	0	1	NA	NA	NA	0.9624	0.5621	1
Q0250	COX2	30C.rep1	1	1	4255500	315310	5770500	0.0439	0.0106	0.1704
Q0250	COX2	30C.rep3	0	1	NA	NA	NA	0.9782	0.0072	0.9998
Q0250	COX2	37C.8min	3	1	8661700	402350	515691	0.128	0.0337	0.4543
Q0250	COX2	46C.2min	1	1	5790500	84773.0000000001	1580400	0.009	0.0014	0.0588
Q0250	COX2	46C.8min	1	1	507930	60634	1709000	0.0424	0.0121	0.1487
R0020C	REP1	30C.rep1	0	1	NA	NA	NA	0.7943	0.2078	0.9993
R0020C	REP1	37C.8min	1	1	292440	67205	7846.6	0.8727	0.2437	0.9955
R0020C	REP1	42C.8min	1	1	1723300	305190	2418300	0.0914	0.0107	0.4822
R0020C	REP1	46C.2min	2	1	10862200	7675200	5587900	0.4448	0.1487	0.8124
R0020C	REP1	46C.4min	1	1	6645300	3180500	4857900	0.3548	0.1092	0.739
R0030W	RAF1	30C.rep1	2	2	7283089	2642180	1067133	0.6693	0.3925	0.867
R0030W	RAF1	37C.8min	1	1	7809200	1921500	532550	0.7303	0.1481	0.9861
R0030W	RAF1	42C.8min	1	1	17089000	5151800	1483300	0.6301	0.1211	0.965
R0040C	REP2	30C.rep1	4	3	14308140	22796500	4101720	0.7409	0.5512	0.8687
R0040C	REP2	30C.rep3	1	3	359230	571330	353520	0.2468	0.0664	0.6568
R0040C	REP2	37C.8min	5	6	30502450	4734916	8143598.00000001	0.2383	0.1	0.4855
R0040C	REP2	42C.8min	1	1	1123000	423700	131150	0.6216	0.1249	0.9601
R0040C	REP2	46C.2min	2	2	15635600	9435599.99999999	4832800	0.3921	0.1268	0.7666
R0040C	REP2	46C.4min	8	7	119906110	39410954	54196830	0.2825	0.1857	0.4147
R0040C	REP2	46C.8min	2	2	104477	91832	329617	0.2746	0.1315	0.4968
YAL001C	TFC3	30C.rep1	1	1	742740	764130	159070	0.7152	0.3319	0.9279
YAL001C	TFC3	46C.4min	1	2	259000	288220	136350	0.6721	0.3263	0.9087
YAL001C	TFC3	46C.8min	1	1	3046100	52216	7958.79999999999	0.1	0.0271	0.9842
YAL002W	VPS8	46C.4min	2	3	5927980	1371390	2866630	0.3438	0.1642	0.6131
YAL003W	EFB1	30C.rep1	34	11	890458060	1886450400	126156811	0.8981	0.8687	0.9216
YAL003W	EFB1	30C.rep2	32	9	7130312650	5619918820	206875992	0.9795	0.9719	0.9852
YAL003W	EFB1	30C.rep3	23	7	369902272	157756756	12109014	0.8988	0.7978	0.9524
YAL003W	EFB1	37C.8min	30	7	1077695291	502359421	59592726	0.8634	0.771	0.9271
YAL003W	EFB1	42C.8min	31	8	1041275356	411800553	146224992	0.656	0.5356	0.7608
YAL003W	EFB1	46C.2min	35	9	1245500500	963897570	1880517490	0.5449	0.4495	0.6434
YAL003W	EFB1	46C.4min	36	8	1403330850	1044775810	812936084	0.6156	0.5498	0.6794
YAL003W	EFB1	46C.8min	20	6	127215873	123394686	282332770	0.2856	0.2246	0.3556
YAL005C	SSA1	30C.rep1	294	41	9879182628	18679531595	3099118515	0.8053	0.7877	0.8223
YAL005C	SSA1	30C.rep2	166	41	34444936630	23495610860	6873538469	0.8211	0.794	0.843
YAL005C	SSA1	30C.rep3	205	32	2559572353	2515905885.8	86128160.5	0.9039	0.8746	0.9278
YAL005C	SSA1	37C.8min	257	39	15406060880	6429631059	1210584321.5	0.8312	0.7948	0.864
YAL005C	SSA1	42C.8min	220	39	6823428864	4018352917	643146802.7	0.7612	0.7198	0.7998
YAL005C	SSA1	46C.2min	226	41	36262452880	29102046220	4056451561.6	0.7995	0.767	0.8282
YAL005C	SSA1	46C.4min	289	37	27415652430	23384890041	7733963188	0.7466	0.7259	0.7661
YAL005C	SSA1	46C.8min	180	39	3325024248	4486638752	2583576275	0.6684	0.6423	0.6936
YAL007C	ERP2	30C.rep1	4	4	13493260	9315850	63775600	0.1207	0.0646	0.2273
YAL007C	ERP2	30C.rep3	1	1	3571400	748770	232530	0.5234	0.0691	0.971
YAL007C	ERP2	42C.8min	1	1	5749400	141820	244220	0.0533	0.0056	0.4327
YAL007C	ERP2	46C.2min	2	1	53035000	8794700	39771000	0.1003	0.0274	0.322
YAL007C	ERP2	46C.4min	3	2	46975500	6859940	51317400	0.127	0.0558	0.2647
YAL007C	ERP2	46C.8min	1	1	481420	15082	44824	0.0994	0.0258	0.3868
YAL012W	CYS3	30C.rep1	28	12	495181670.6	1044207840	41642064	0.9094	0.8771	0.933
YAL012W	CYS3	30C.rep2	27	10	1298105560	860058280	210367135	0.9074	0.8723	0.9347
YAL012W	CYS3	30C.rep3	16	7	105993670	75018303	9373466	0.8905	0.7746	0.9548
YAL012W	CYS3	37C.8min	21	10	501250320	189023613	26948822	0.8978	0.7996	0.9555
YAL012W	CYS3	42C.8min	20	12	158026500	112707320	15877607.8	0.9539	0.9136	0.9754
YAL012W	CYS3	46C.2min	19	8	1113053520	1111448190	51594633	0.8648	0.7801	0.9204
YAL012W	CYS3	46C.4min	33	14	1591754870	1549962920	176349740	0.9006	0.8713	0.9249
YAL012W	CYS3	46C.8min	19	8	107025884.1	287216170	27175217.9	0.9075	0.8773	0.9309
YAL013W	DEP1	30C.rep1	1	1	3357200	7143400	1759200	0.6903	0.3229	0.9212
YAL013W	DEP1	42C.8min	0	1	NA	NA	NA	0.4654	0.033	0.9996
YAL013W	DEP1	46C.8min	1	1	14167	20337	12286	0.5888	0.2606	0.8564
YAL014C	SYN8	30C.rep1	1	1	1731900	1296400	1358700	0.3882	0.1209	0.7707
YAL014C	SYN8	46C.4min	1	1	3978100	4136000	4707600	0.4532	0.155	0.7956
YAL016W	TPD3	30C.rep1	10	11	70253471	119041630	41757538	0.7737	0.6712	0.8507
YAL016W	TPD3	30C.rep2	4	4	31859120	17159980	4546460	0.8258	0.658	0.919
YAL016W	TPD3	30C.rep3	9	6	15187730	11728140	1700295	0.8715	0.6996	0.9562
YAL016W	TPD3	37C.8min	4	4	77857600	29692680	2933765	0.9287	0.7165	0.9876
YAL016W	TPD3	42C.8min	3	5	19955420	10299900	1023440	0.6568	0.3263	0.9034
YAL016W	TPD3	46C.2min	7	4	83149300	75630100	5547400	0.8935	0.747	0.9599
YAL016W	TPD3	46C.4min	12	11	274720500	233205300	58898890	0.8007	0.7138	0.8651
