Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count pellet	Mutation names pellet	Mutated peptide count supernatant	Mutation names supernatant	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pellet	Peptides supernatant	Razor + unique peptides pellet	Razor + unique peptides supernatant	Unique peptides pellet	Unique peptides supernatant	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Q-value	Score	Ratio M/L	Ratio M/L normalized	Ratio M/L variability [%]	Ratio M/L count	Ratio M/L iso-count	Ratio M/L type	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Ratio H/M	Ratio H/M normalized	Ratio H/M variability [%]	Ratio H/M count	Ratio H/M iso-count	Ratio H/M type	Ratio M/L pellet	Ratio M/L supernatant	Ratio M/L normalized pellet	Ratio M/L normalized supernatant	Ratio M/L variability [%] pellet	Ratio M/L variability [%] supernatant	Ratio M/L count pellet	Ratio M/L count supernatant	Ratio M/L iso-count pellet	Ratio M/L iso-count supernatant	Ratio M/L type pellet	Ratio M/L type supernatant	Ratio H/L pellet	Ratio H/L supernatant	Ratio H/L normalized pellet	Ratio H/L normalized supernatant	Ratio H/L variability [%] pellet	Ratio H/L variability [%] supernatant	Ratio H/L count pellet	Ratio H/L count supernatant	Ratio H/L iso-count pellet	Ratio H/L iso-count supernatant	Ratio H/L type pellet	Ratio H/L type supernatant	Ratio H/M pellet	Ratio H/M supernatant	Ratio H/M normalized pellet	Ratio H/M normalized supernatant	Ratio H/M variability [%] pellet	Ratio H/M variability [%] supernatant	Ratio H/M count pellet	Ratio H/M count supernatant	Ratio H/M iso-count pellet	Ratio H/M iso-count supernatant	Ratio H/M type pellet	Ratio H/M type supernatant	Sequence coverage pellet [%]	Sequence coverage supernatant [%]	Intensity	Intensity L	Intensity M	Intensity H	Intensity pellet	Intensity L pellet	Intensity M pellet	Intensity H pellet	Intensity supernatant	Intensity L supernatant	Intensity M supernatant	Intensity H supernatant	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__A3EZ82;CON__A3EZ79	CON__A3EZ82;CON__A3EZ79	4;3	4;3	4;3	0		0		0		;	2	4	4	4	4	1	4	1	4	1	10.1	10.1	10.1	47.082	476	476;449	9.57									3	4	0	26.258	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	10.1	1.7	30885000	30885000	0	0	29796000	29796000	0	0	1089400	1089400	0	0			+	0	241;1021;5608;5874	True;True;True;True	255;1078;5918;6192	707;2846;2847;2848;15608;16285;16286	1174;1175;4593;4594;4595;24290;24291;25389;25390	1174;4593;24291;25389			-1;-1
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	7	7	7	0		0		0			1	7	7	7	7	1	7	1	7	1	6	6	6	164.34	1477	1477	2.38		7			1						0	44.59	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	6	0.5	82097000	77165000	0	4931500	77165000	77165000	0	0	4931500	0	0	4931500			+	1	338;908;2593;3346;3446;4684;5930	True;True;True;True;True;True;True	356;959;2712;3487;3596;4936;6251	984;2494;7049;9090;9337;12861;16444;16445	1594;4053;11178;13923;14302;19700;25670;25671	1594;4053;11178;13923;14302;19700;25671	0	268	-1
CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	CON__ENSEMBL:ENSBTAP00000024466;CON__ENSEMBL:ENSBTAP00000024462	1;1	1;1	1;1	0		0		0		;	2	1	1	1	1	0	1	0	1	0	3	3	3	43.9	401	401;419	2		1									0.0032503	7.0008	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	3	0	57431000	57431000	0	0	57431000	57431000	0	0	0	0	0	0			+	2	5653	True	5963	15709	24438	24438			-1;-1
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	14	1	1	0		0		0			1	14	1	1	13	14	0	1	0	1	18	1.7	1.7	63.165	606	606	5					1						1	-2	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	16.3	18	973950	973950	0	0	0	0	0	0	973950	973950	0	0	+		+	3	91;466;974;1529;2997;3053;3360;4002;4454;4644;4708;4709;5255;6080	False;False;False;False;False;False;False;True;False;False;False;False;False;False	97;494;1028;1029;1607;3128;3184;3501;3502;4220;4697;4894;4963;4964;5550;6412	281;282;283;284;1343;1344;1345;1346;1347;1348;1349;1350;1351;1352;1353;1354;1355;2685;2686;2687;2688;2689;2690;2691;2692;2693;2694;2695;2696;2697;2698;2699;2700;2701;2702;2703;2704;2705;2706;2707;2708;2709;2710;2711;2712;2713;2714;2715;4076;4077;4078;4079;4080;4081;4082;4083;4084;4085;4086;4087;4088;4089;4090;4091;4092;4093;8164;8165;8166;8167;8168;8169;8170;8171;8172;8173;8174;8175;8176;8177;8178;8179;8361;8362;8363;8364;8365;8366;8367;9131;9132;10850;12067;12068;12708;12709;12710;12711;12712;12713;12921;12922;12923;12924;12925;12926;12927;12928;12929;12930;12931;12932;12933;12934;12935;12936;12937;12938;12939;14588;14589;14590;14591;14592;14593;14594;14595;14596;14597;14598;14599;14600;14601;14602;14603;14604;14605;14606;16911;16912;16913;16914;16915;16916;16917;16918;16919;16920;16921;16922;16923;16924;16925;16926;16927;16928	402;403;404;405;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2194;2195;2196;2197;2198;2199;2200;2201;2202;4337;4338;4339;4340;4341;4342;4343;4344;4345;4346;4347;4348;4349;4350;4351;4352;4353;4354;4355;4356;4357;4358;4359;4360;4361;4362;4363;4364;4365;4366;4367;4368;4369;4370;4371;4372;4373;4374;4375;4376;4377;6469;6470;6471;6472;6473;6474;6475;6476;6477;6478;6479;6480;6481;6482;6483;6484;6485;6486;6487;6488;6489;6490;6491;6492;6493;6494;6495;6496;12598;12599;12600;12601;12602;12603;12604;12605;12606;12607;12608;12609;12610;12611;12612;12613;12614;12615;12832;12833;12834;12835;12836;12837;12838;13985;13986;16648;18438;18439;19514;19515;19516;19517;19518;19519;19520;19791;19792;19793;19794;19795;19796;19797;19798;19799;19800;19801;19802;19803;19804;19805;19806;19807;19808;19809;19810;19811;22434;22435;22436;22437;22438;22439;22440;22441;22442;22443;22444;22445;22446;22447;22448;22449;22450;22451;22452;22453;22454;22455;22456;22457;22458;22459;22460;22461;26457;26458;26459;26460;26461;26462;26463;26464;26465;26466;26467;26468;26469;26470;26471;26472;26473;26474;26475;26476	403;2189;4361;6473;12601;12833;13985;16648;18438;19520;19793;19805;22449;26458	1	465	-1
CON__ENSEMBL:ENSP00000377550	CON__ENSEMBL:ENSP00000377550	16	6	0	0		0		0			1	16	6	0	10	14	0	6	0	0	26.2	11.9	0	45.771	420	420	7.11					5				1	3	0	102.79	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	14.3	25.5	96478000	96478000	0	0	0	0	0	0	96478000	96478000	0	0			+	4	304;1390;2527;2904;3004;3005;3077;3078;3154;3906;4263;4264;5084;5340;5677;5720	False;True;True;False;False;False;True;True;False;False;False;False;False;False;True;True	322;1459;2643;3031;3135;3136;3208;3209;3288;4116;4494;4495;5367;5637;5988;6033	880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;3699;3700;6911;7883;8189;8190;8191;8192;8193;8194;8195;8196;8197;8198;8199;8200;8201;8202;8203;8204;8205;8435;8436;8600;8601;8602;8603;8604;8605;8606;8607;10564;10565;10566;10567;10568;10569;11580;11581;11582;11583;11584;11585;11586;11587;11588;11589;11590;11591;11592;11593;11594;11595;11596;11597;11598;14043;14044;14045;14046;14836;14837;14838;15772;15773;15869;15870	1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;5891;5892;10961;12289;12625;12626;12627;12628;12629;12630;12631;12632;12633;12634;12635;12636;12637;12638;12639;12640;12641;12642;12930;12931;13152;13153;13154;13155;13156;13157;13158;13159;13160;13161;16290;16291;16292;16293;16294;16295;17766;17767;17768;17769;17770;17771;17772;17773;17774;17775;17776;17777;17778;17779;17780;17781;17782;17783;17784;17785;17786;17787;17788;21556;21557;21558;21559;22877;22878;22879;24539;24540;24715;24716	1456;5891;10961;12289;12633;12642;12930;12931;13158;16290;17769;17782;21558;22877;24540;24715			-1
CON__O76013;CON__Q14532;CON__O76015	CON__O76013;CON__Q14532;CON__O76015	4;2;2	2;0;0	2;0;0	0		0		0		;;	3	4	2	2	1	4	0	2	0	2	7.1	3.6	3.6	52.247	467	467;448;456	9									2		0.0013106	12.335	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	1.5	7.1	94520000	94520000	0	0	0	0	0	0	94520000	94520000	0	0			+	5	1257;1350;3004;3658	True;False;False;True	1324;1419;3135;3815	3359;3566;8189;8190;8191;8192;8193;8194;8195;8196;8197;8198;8199;8200;8201;8202;8203;8204;9909	5395;5711;12625;12626;12627;12628;12629;12630;12631;12632;12633;12634;12635;12636;12637;12638;12639;12640;12641;15285	5395;5711;12633;15285	2	97	-1;-1;-1
CON__O95678;CON__Q3KNV1;CON__P08729	CON__O95678	18;4;4	2;0;0	2;0;0	0		0		0			3	18	2	2	11	17	0	2	0	2	21.2	2.2	2.2	59.504	551	551;469;469	9									2		0.0026076	12.279	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	14	19.6	25197000	25197000	0	0	0	0	0	0	25197000	25197000	0	0			+	6	94;919;1286;1433;1435;1527;1710;2799;2882;3053;3054;3326;3964;4822;4983;4984;6080;6091	False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False	100;970;1354;1505;1507;1605;1793;2920;3009;3184;3185;3466;4178;5092;5262;5263;6412;6423	302;2513;2514;2515;2516;2517;2518;2519;2520;3410;3822;3823;3824;3825;3826;3827;3828;3829;3831;3832;3833;3834;3835;4036;4037;4038;4515;4516;7580;7833;7834;7835;7836;7837;7838;7839;7840;8361;8362;8363;8364;8365;8366;8367;8368;8369;8370;8371;9052;9053;9054;9055;9056;10776;10777;10778;10779;10780;10781;10782;10783;10784;10785;13260;13765;13766;16911;16912;16913;16914;16915;16916;16917;16918;16919;16920;16921;16922;16923;16924;16925;16926;16927;16928;16963;16964;16965;16966;16967;16968;16969;16970	432;4091;4092;4093;4094;4095;4096;4097;4098;4099;5472;6101;6102;6103;6104;6105;6106;6107;6108;6109;6110;6111;6113;6114;6115;6116;6117;6422;6423;6424;6425;6426;7173;7174;11934;12220;12221;12222;12223;12224;12225;12226;12227;12832;12833;12834;12835;12836;12837;12838;12839;12840;12841;12842;13876;13877;13878;13879;13880;13881;16553;16554;16555;16556;16557;16558;16559;16560;16561;16562;16563;20306;21098;21099;26457;26458;26459;26460;26461;26462;26463;26464;26465;26466;26467;26468;26469;26470;26471;26472;26473;26474;26475;26476;26523;26524;26525;26526;26527;26528;26529;26530;26531;26532;26533;26534	432;4091;5472;6104;6114;6423;7173;11934;12220;12833;12840;13881;16559;20306;21098;21099;26458;26527			-1;-1;-1
CON__P00761	CON__P00761	5	5	5	0		0		0			1	5	5	5	4	5	4	5	4	5	29.4	29.4	29.4	24.409	231	231	5.9	10	8	6	15	10	13	13	9	10	17	0	323.31	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	25.1	29.4	128690000000	128690000000	0	0	50269000000	50269000000	0	0	78419000000	78419000000	0	0			+	7	440;2470;3198;3570;5511	True;True;True;True;True	468;2582;2583;3334;3723;5817	1271;1272;6761;6762;6763;6764;6765;6766;6767;6768;6769;6770;6771;6772;6773;6774;6775;6776;6777;6778;6779;6780;6781;6782;6783;6784;6785;6786;6787;6788;8715;8716;8717;8718;8719;8720;8721;8722;8723;8724;8725;8726;8727;8728;8729;8730;8731;8732;8733;8734;8735;8736;8737;8738;8739;8740;9639;9640;9641;9642;9643;9644;9645;9646;9647;9648;9649;9650;9651;9652;9653;9654;9655;9656;9657;9658;9659;9660;9661;9662;15291;15292;15293;15294;15295;15296;15297;15298;15299;15300;15301;15302;15303;15304;15305;15306;15307;15308;15309;15310;15311;15312;15313;15314;15315;15316;15317;15318;15319;15320;15321	2075;2076;10771;10772;10773;10774;10775;10776;10777;10778;10779;10780;10781;10782;10783;10784;10785;10786;10787;10788;10789;10790;10791;10792;10793;10794;10795;10796;10797;10798;10799;10800;10801;13342;13343;13344;13345;13346;13347;13348;13349;13350;13351;13352;13353;13354;13355;13356;13357;13358;13359;13360;13361;13362;13363;13364;13365;13366;13367;13368;13369;14768;14769;14770;14771;14772;14773;14774;14775;14776;14777;14778;14779;14780;14781;14782;14783;14784;14785;14786;14787;14788;14789;14790;14791;14792;14793;14794;14795;14796;14797;14798;14799;14800;14801;14802;14803;14804;14805;14806;14807;14808;14809;14810;14811;14812;14813;14814;14815;14816;14817;14818;14819;14820;14821;14822;23764;23765;23766;23767;23768;23769;23770;23771;23772;23773;23774;23775;23776;23777;23778;23779;23780;23781;23782;23783;23784;23785;23786;23787;23788;23789;23790;23791;23792;23793;23794;23795;23796;23797;23798;23799;23800;23801;23802;23803;23804;23805;23806;23807;23808;23809;23810;23811;23812;23813;23814;23815;23816;23817;23818;23819;23820;23821;23822;23823;23824;23825;23826;23827;23828;23829;23830;23831;23832;23833;23834;23835;23836	2075;10792;13363;14771;23784	3	94	-1
CON__P01966	CON__P01966	4	4	4	0		0		0			1	4	4	4	0	4	0	4	0	4	28.2	28.2	28.2	15.184	142	142	5					5						0	25.184	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	0	28.2	75048000	75048000	0	0	0	0	0	0	75048000	75048000	0	0			+	8	3502;5461;5552;5613	True;True;True;True	3653;5765;5858;5923	9481;15178;15455;15615;15616	14504;23551;24051;24300;24301	14504;23551;24051;24301			-1
CON__P02533;CON__Q9D312	CON__P02533	32;3	18;0	5;0	0		0		0			2	32	18	5	22	32	10	18	3	5	60.4	38.1	11.4	51.621	472	472;431	6.51	5	3	6	1	29	6	5	2	9	24	0	323.31	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	0	0	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	Median	Median	47.2	60.4	4728200000	4728200000	0	0	783190000	783190000	0	0	3945000000	3945000000	0	0			+	9	304;436;496;497;629;1359;1932;1944;2520;2529;2648;2907;3004;3074;3076;3154;3155;3323;3786;3909;4196;4339;4494;4495;5079;5216;5220;5340;5718;5793;5931;6004	False;True;False;False;True;True;True;False;True;True;False;True;False;False;False;False;False;True;True;True;False;True;True;True;True;True;True;False;False;True;False;True	322;464;524;525;664;665;1428;2026;2027;2039;2635;2636;2645;2767;3035;3135;3205;3207;3288;3289;3463;3983;4121;4122;4427;4572;4739;4740;5361;5509;5513;5637;6031;6109;6252;6253;6334	880;881;882;883;884;885;886;887;888;889;890;891;892;893;894;895;896;897;898;899;900;901;902;903;904;1259;1260;1261;1262;1263;1264;1265;1266;1424;1425;1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438;1439;1440;1441;1442;1443;1822;1823;1824;1825;3590;3591;3592;3593;3594;3595;3596;3597;3598;3599;3600;3601;3602;3603;3604;3605;5138;5139;5173;5174;5175;5176;5177;5178;5179;5180;6896;6897;6898;6899;6900;6901;6902;6913;6914;6915;7161;7162;7163;7164;7165;7166;7167;7168;7169;7170;7171;7172;7173;7174;7894;8189;8190;8191;8192;8193;8194;8195;8196;8197;8198;8199;8200;8201;8202;8203;8204;8406;8407;8408;8409;8410;8411;8412;8413;8414;8415;8416;8417;8418;8419;8423;8424;8425;8426;8427;8428;8429;8430;8431;8432;8433;8434;8600;8601;8602;8603;8604;8605;8606;8607;8608;8609;8610;9043;9044;9045;9046;9047;10264;10607;10608;10609;10610;10611;10612;10613;10614;10615;10616;10617;10618;10619;10620;10621;10622;11418;11419;11766;12171;12172;12173;12174;12175;12176;12177;12178;12179;12180;12181;12182;12183;14030;14477;14485;14486;14487;14488;14836;14837;14838;15862;15863;15864;15865;15866;15867;16055;16056;16057;16446;16447;16448;16449;16450;16451;16452;16453;16454;16455;16456;16457;16458;16459;16460;16461;16462;16463;16464;16465;16466;16467;16468;16469;16470;16471;16472;16473;16474;16475;16476;16477;16478;16479;16480;16481;16704;16705;16706;16707	1446;1447;1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478;1479;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2295;2296;2297;2298;2299;2300;2301;2302;2303;2304;2305;2306;2307;2308;2309;2310;2311;2312;2313;2314;2315;2316;2317;2318;2952;2953;2954;2955;2956;5740;5741;5742;5743;5744;5745;5746;5747;5748;5749;5750;5751;5752;5753;5754;5755;5756;5757;5758;8184;8185;8238;8239;8240;8241;8242;8243;8244;8245;10944;10945;10946;10947;10948;10949;10950;10963;10964;10965;11365;11366;11367;11368;11369;11370;11371;11372;11373;11374;11375;11376;11377;11378;11379;11380;12303;12625;12626;12627;12628;12629;12630;12631;12632;12633;12634;12635;12636;12637;12638;12639;12640;12641;12894;12895;12896;12897;12898;12899;12900;12901;12902;12903;12904;12905;12906;12907;12908;12909;12910;12911;12912;12916;12917;12918;12919;12920;12921;12922;12923;12924;12925;12926;12927;12928;12929;13152;13153;13154;13155;13156;13157;13158;13159;13160;13161;13162;13163;13164;13867;13868;13869;13870;13871;15872;15873;16339;16340;16341;16342;16343;16344;16345;16346;16347;16348;16349;16350;16351;16352;16353;16354;17512;17513;18027;18028;18586;18587;18588;18589;18590;18591;18592;18593;18594;18595;18596;18597;18598;18599;18600;21536;22233;22234;22242;22243;22244;22245;22246;22247;22877;22878;22879;24708;24709;24710;24711;24712;24713;25016;25017;25018;25672;25673;25674;25675;25676;25677;25678;25679;25680;25681;25682;25683;25684;25685;25686;25687;25688;25689;25690;25691;25692;25693;25694;25695;25696;25697;25698;25699;25700;25701;25702;25703;25704;25705;25706;25707;25708;25709;25710;25711;25712;25713;25714;25715;25716;25717;25718;25719;25720;25721;25722;25723;25724;26099;26100;26101;26102	1456;2066;2305;2315;2954;5749;8185;8241;10944;10964;11376;12303;12633;12904;12924;13158;13163;13869;15872;16351;17513;18028;18588;18591;21536;22233;22242;22877;24711;25018;25694;26100	4;5;6;7;8	119;257;272;287;391	-1;-1
